企業名,クライアント名,商品名,カテゴリー,URL,配信ステータス,配信目的
小林製薬株式会社,あずきのチカラ,あずきのチカラ,日用品,https://www.tiktok.com/@tobuy_desu/video/7309289463153265922?lang=ja-JP,配信中,動画視聴
花王株式会社,マジックリン,キッチンマジックリン泡ジェット,日用品,https://www.tiktok.com/@tobuy_desu/video/7311171192549936392,配信中,動画視聴
花王株式会社,バブ,あふれるのはきっと、お湯だけじゃない,日用品,https://www.tiktok.com/@moshiyome_tobuy/video/7311151888001436929?lang=ja-JP,配信中,動画視聴
花王株式会社,ワイドハイター,ワイドハイターexパワー,日用品,https://www.tiktok.com/@tobuy_desu/video/7311666636254153992?lang=ja-JP,配信中,動画視聴
花王株式会社,Liese,秒で前髪復活パウダー２本目,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7312281777190620424?lang=ja-JP,配信中,動画視聴
ライオン株式会社,hadakara,増える泡ボディーソープ2本目,日用品,https://www.tiktok.com/@tobuy_desu/video/7312665019349568775?lang=ja-JP,配信中,動画視聴
HJホールディングス株式会社,Hulu,彼氏彼女訴求,その他,https://www.tiktok.com/@tobuy_desu/video/7312640648241237249?lang=ja-JP,配信中,動画視聴
HJホールディングス株式会社,Hulu,独身実家訴求,その他,https://www.tiktok.com/@tobuy_desu/video/7312644670100622610?lang=ja-JP,配信中,動画視聴
小林製薬株式会社,命の母カイロ(to buyチーム配信のみ),命の母カイロ,日用品,https://www.tiktok.com/@tobuy_desu/video/7313761443260779778?lang=ja-JP,配信中,動画視聴
小林製薬株式会社,命の母カイロ(インフィード合算),命の母カイロ,日用品,https://www.tiktok.com/@tobuy_desu/video/7313761443260779778?lang=ja-JP,配信中,動画視聴
コーセーコスメポート株式会社,ONE BY KOSE,ONE BY KOSE セラム シールド　[医薬部外品],スキンケア,https://www.tiktok.com/@tobuy_desu/video/7314137706374728978?lang=ja-JP,配信中,動画視聴
株式会社ピエール ファーブル ジャポン,Avene,アベンヌウォーター,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7314885534600416520?lang=ja-JP,配信中,動画視聴
小林製薬株式会社,ナイトミン,耳ほぐ,日用品,https://www.tiktok.com/@tobuy_desu/video/7324903179722722568?lang=ja-JP,配信中,動画視聴
,リサージ,,スキンケア,,配信中,動画視聴
レブロン株式会社,レブロン,ジェリーティントリップセラム,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7329323579395329281?lang=ja-JP,配信中,動画視聴
レブロン株式会社,レブロン,カラーステイロングウェアメイクアップD,メイクアップ,https://www.tiktok.com/@tobuy_z/video/7329324288253644034?lang=ja-JP,配信中,動画視聴
株式会社ネットプロテクションズ,atone,,その他,https://www.tiktok.com/@tobuy_desu/video/7330535506851171602?lang=ja-JP,配信中,動画視聴
小林製薬株式会社,ハナノア,ハナノア,日用品,https://www.tiktok.com/@tobuy_desu/video/7334920413903998215?lang=ja-JP,配信中,動画視聴
メルヴィータジャポン株式会社,メルヴィータ,,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7337224425923808519?lang=ja-JP,配信中,動画視聴
GU,GU MANIA,,その他,https://www.tiktok.com/@tobuy_desu/video/7337876669119712520?lang=ja-JP,配信中,動画視聴
楽天グループ株式会社,楽天韓コスマチュリ,色物軸,その他,https://www.tiktok.com/@tobuy_z/video/7338247631539358977,配信中,動画視聴
楽天グループ株式会社,楽天韓コスマチュリ,スキンケア軸,その他,https://www.tiktok.com/@tobuy_desu/video/7338256132953181448,配信中,動画視聴
ステラシード株式会社,nekopi,折りたたみ傘,日用品,https://www.tiktok.com/@tobuy_desu/video/7338274577455402247?lang=ja-JP,配信中,動画視聴
花王株式会社,Liese,カールローション,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7339726643855887623?lang=ja-JP,配信中,動画視聴
株式会社ナリス化粧品,by365,UVクリーム,日用品,https://www.tiktok.com/@tobuy_desu/video/7340112617110949121?lang=ja-JP,配信中,動画視聴
健栄製薬株式会社,ルマイルド,ミスト化粧水,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7340856794425707784?lang=ja-JP,配信中,動画視聴
小林製薬株式会社,ブレスケア,ブレスケア,日用品,https://www.tiktok.com/@tobuy_desu/video/7341262381898648840?lang=ja-JP,配信中,動画視聴
株式会社ネットプロテクションズ/atone,atone,,その他,https://www.tiktok.com/@tobuy_desu/video/7341235943275253010?lang=ja-JP,配信中,動画視聴
花王株式会社,マジックリン,トイレマジックリン泡パック,日用品,https://www.tiktok.com/@tobuy_desu/video/7341214055891242241?lang=ja-JP,配信中,動画視聴
レブロン株式会社,レブロン,ダズルクアッドアイシャドウ,メイクアップ,https://www.tiktok.com/@tobuy_z/video/7342341449343716609?lang=ja-JP,配信中,動画視聴
P＆Gジャパン合同会社,パンテーン,パンテーンミラクルズ,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7342712626406853896?lang=ja-JP,配信中,動画視聴
小林製薬株式会社,キュアレア,,日用品,https://www.tiktok.com/@tobuy_desu/video/7343456893530279186?lang=ja-JP,配信中,動画視聴
株式会社伊勢半,ヘビーローテーション,アイブロウペンシル,メイクアップ,https://www.tiktok.com/@tobuy_z/video/7343449849234296066?lang=ja-JP,配信中,動画視聴
花王株式会社,Liese,おでこ隠しバーム,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7344924600851090695?lang=ja-JP,配信中,動画視聴
レブロン株式会社,レブロン,キスシュガースクラブ,メイクアップ,https://www.tiktok.com/@tobuy_z?lang=ja-JP,配信中,動画視聴
花王株式会社,Liese,カールローション,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7211430236490091778?lang=ja-JP,配信中,動画視聴
花王株式会社,ケープ,キープウォーター,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7348653229804129554?lang=ja-JP,配信中,動画視聴
かどや製油株式会社,かどや製油,ごま油,食品,https://www.tiktok.com/@moshiyome.tobuy/video/7349033291002957064?lang=ja-JP,配信中,動画視聴
花王株式会社,Liese,ニュアンススタイリングオイル,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7350153488891940103?lang=ja-JP,配信中,動画視聴
コーセーコスメポート株式会社,Visee,ハイライト、シェーディング,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7350141851904576769?lang=ja-JP,配信中,動画視聴
花王株式会社,Liese,前髪リセットパウダー,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7352723234812382482?lang=ja-JP,配信中,動画視聴
株式会社ファイントゥデイホールディングス,uno,フェイスカラークリエイター,メイクアップ,https://www.tiktok.com/@tobuy_mendazo/video/7353117398813216007?lang=ja-JP,配信中,動画視聴
株式会社ファンケル,toiro,化粧水,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7359042430244637959?lang=ja-JP,配信中,動画視聴
花王株式会社,ケープ,前髪マスカラ,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7360601017370643719?lang=ja-JP,配信中,動画視聴
花王株式会社,ハイター,キッチン泡ハイター　無臭性,日用品,https://www.tiktok.com/@tobuy_desu/video/7360976696138288391?is_from_webapp=1&sender_device=pc&web_id=7159073389364135426,配信中,動画視聴
花王株式会社,Liese,おでこ隠しバーム,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7362021364649200904,配信中,動画視聴
レブロン株式会社,レブロン,マルチプレイヤーアイライナー,メイクアップ,https://www.tiktok.com/@tobuy_z/video/7363869478901386513?lang=ja-JP,配信中,動画視聴
花王株式会社,Liese,シルキー髪オイルミスト(飲み会訴求),ヘアケア・スタイリング,https://vt.tiktok.com/ZSYYMeC2W/,配信中,動画視聴
花王株式会社,Liese,シルキー髪オイルミスト(韓国アイドル訴求),ヘアケア・スタイリング,https://vt.tiktok.com/ZSYYM2CdL/,配信中,動画視聴
花王株式会社,Liese,シルキー髪オイルミスト(自撮り盛れ訴求),ヘアケア・スタイリング,https://vt.tiktok.com/ZSYY63Lp7/,配信中,動画視聴
ライオン株式会社,NONIO,歯磨き粉②,日用品,https://www.tiktok.com/@tobuy_desu/video/7366825252539649288,配信中,動画視聴
ライオン株式会社,NONIO,歯磨き粉④,日用品,https://www.tiktok.com/@tobuy_desu/video/7366826632046234887,配信中,動画視聴
ライオン株式会社,NONIO,歯磨き粉①,日用品,https://www.tiktok.com/@tobuy_desu/video/7366828205380029704,配信中,動画視聴
株式会社みずほ銀行,J-Coin Pay,Jコインアプリ,その他,https://www.tiktok.com/@moshiyome.tobuy/video/7374244866072644865,配信中,動画視聴
株式会社みずほ銀行,J-Coin Pay,Jコインアプリ,その他,https://www.tiktok.com/@moshiyome.tobuy/video/7374244866072644865,配信中,動画視聴
,,,,,,動画視聴とリーチ
花王株式会社,リーゼ,ドライシャンプー（なにこれ訴求）,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_z/video/7368690968620567825,配信中,動画視聴
花王株式会社,リーゼ,ドライシャンプー（ドッキリ訴求）,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_z/video/7372019892461112592,配信中,動画視聴
花王株式会社,リーゼ,ドライシャンプー（ドッキリ訴求）,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_z/video/7372019892461112592,配信中,リーチ
花王株式会社,リーゼ,ドライシャンプー（ドッキリ訴求）,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_z/video/7372019892461112592,配信中,動画視聴とリーチ
花王株式会社,リーゼ,ドライシャンプー（暑さ対策）,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_z/video/7376086484782189840,配信中,動画視聴
花王株式会社,リーゼ,ドライシャンプー（暑さ対策）,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_z/video/7376086484782189840,配信中,リーチ
花王株式会社,リーゼ,ドライシャンプー（暑さ対策）,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_z/video/7376086484782189840,配信中,動画視聴とリーチ
楽天グループ株式会社,韓国コスメ,to buy(視聴）,その他,https://www.tiktok.com/@tobuy_desu/video/7372366972387937543,配信中,動画視聴
楽天グループ株式会社,韓国コスメ,COCO(視聴目的）,その他,https://www.tiktok.com/@tobuy_z/video/7372371508099812625,配信中,動画視聴
楽天グループ株式会社,韓国コスメ,COCO(リーチ）,その他,https://www.tiktok.com/@tobuy_z/video/7372371508099812625,配信中,リーチ
楽天グループ株式会社,韓国コスメ,COCO(リーチ）,その他,https://www.tiktok.com/@tobuy_z/video/7372371508099812625,配信中,リーチ
楽天グループ株式会社,韓国コスメ,COCO,,,,動画視聴とリーチ
ライオン株式会社,クリニカハミガキ,クリニカフロス,日用品,https://www.tiktok.com/@tobuy_desu/video/7374972936429538568?is_from_webapp=1&sender_device=pc&web_id=7225545027098772993,配信中,動画視聴
株式会社キングジム,KING JIM,ぬいぐるみ,日用品,https://www.tiktok.com/@tobuy_z/video/7374984114400709904,配信中,動画視聴
株式会社キングジム,KING JIM,ぬいぐるみ,日用品,https://www.tiktok.com/@tobuy_z/video/7374984114400709904,配信中,動画視聴
株式会社キングジム,KING JIM,ぬいぐるみ,日用品,,,動画視聴とリーチ
株式会社ファンケル,ファンケル,マイルドクレンジングオイル,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7373506716144635143,配信中,動画視聴
株式会社ファンケル,ファンケル,マイルドクレンジングオイル,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7373506716144635143,配信中,リーチ
株式会社ファンケル,ファンケル,マイルドクレンジングオイル,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7373506716144635143,配信中,リーチ
株式会社ファンケル,ファンケル,マイルドクレンジングオイル,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7373506716144635143,配信中,動画視聴とリーチ
JNTLコンシューマーヘルス株式会社,ドクターシーラボ,VC100,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7372028196612492551,配信中,動画視聴
JNTLコンシューマーヘルス株式会社,ドクターシーラボ,VC100,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7372028196612492551,配信中,動画視聴
JNTLコンシューマーヘルス株式会社,ドクターシーラボ,VC100,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7372028196612492551,配信中,動画視聴
JNTLコンシューマーヘルス株式会社,ドクターシーラボ,VC100,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7372028196612492551,配信中,動画視聴とリーチ
花王株式会社,キュレル,顔からだUV,日用品,https://www.tiktok.com/@tobuy_desu/video/7376117818321882386,配信中,動画視聴
花王株式会社,キュレル,顔からだUV,日用品,https://www.tiktok.com/@tobuy_desu/video/7376117818321882386,配信中,リーチ
花王株式会社,キュレル,顔からだUV,日用品,https://www.tiktok.com/@tobuy_desu/video/7376117818321882386,配信中,動画視聴とリーチ
花王株式会社,IROKA,柔軟剤,日用品,https://www.tiktok.com/@tobuy_desu/video/7369416323073412359,配信中,動画視聴
花王株式会社,IROKA,柔軟剤,日用品,https://www.tiktok.com/@tobuy_desu/video/7369416323073412359,配信中,動画視聴
花王株式会社,IROKA,柔軟剤,日用品,https://www.tiktok.com/@tobuy_desu/video/7369416323073412359,配信中,動画視聴
花王株式会社,メンズビオレ,フェス軸　ボディシート,日用品,https://www.tiktok.com/@tobuy_desu/video/7376137254193908993,配信中,動画視聴
花王株式会社,メンズビオレ,レジャー軸　ボディシート,日用品,https://www.tiktok.com/@tobuy_desu/video/7376816946790042881,配信中,動画視聴
花王株式会社,メンズビオレ,通勤軸　ボディシート,日用品,https://www.tiktok.com/@tobuy_desu/video/7377576078367280385?is_from_webapp=1&sender_device=pc&web_id=7225545027098772993,配信中,動画視聴
花王株式会社,メンズビオレ,通勤軸　リーチ　ボディシート,日用品,https://www.tiktok.com/@tobuy_desu/video/7377576078367280385?is_from_webapp=1&sender_device=pc&web_id=7225545027098772993,配信中,リーチ
花王株式会社,ケープ,黄色ケープ,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7376870404343860498?l,配信中,動画視聴
,,,,,,
,,,,,,動画視聴
,,,,,,動画視聴
