,手入力,※1年前の数値は出せない,,満足度参考基準？,視聴達成率,140%以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,株式会社カネボウ化粧品	,KATE,フィルターカバーブラシ,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7225817555678809345,配信中,7130831028008058881,1764116569389105,2023/04/25,動画視聴,"2,000,000","2,800,000","¥2,500,000","¥760,000","¥758,122",¥1.25,¥0.89,140.00%,¥0.29,15.88,"22,000",0.79%,51,0.002%,74,0.003%,553,0.020%,"22,678",0.81%,¥0,¥288,"2,626,595",0,0.00%,"1,205,395",45.89%,2.18,"2,455,804",49.60%,"1,218,168",22.49%,"552,393",,"190,658","384,818","549,616","736,396",5.83,11.88,173405,¥1.1,¥0.5,#DIV/0!,¥13.1,¥110.2
,株式会社スタイリングライフ・ホールディングス,サボリーノ,サボリーノ,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7225880571258375432,配信中,7225799585141161985,1764135280203778,2023/04/25,動画視聴,"2,000,000","3,200,000","¥2,500,000","¥850,000","¥839,218",¥1.25,¥0.78,160.00%,¥0.29,19.43,"16,628",0.52%,66,0.002%,143,0.004%,132,0.004%,"16,969",0.53%,¥0,¥290,"2,892,099",0,0.00%,"1,402,382",48.49%,2.06,"2,661,698",49.63%,"1,320,900",13.32%,"354,573",4.83%,"128,635","237,083","305,347","494,372",4.82,9.15,"307,901",¥1.8,,,,
,楽天グループ株式会社,韓国コスメフェス,コスメフェス,その他,https://www.tiktok.com/@tobuy_desu/video/7231126076179680539,配信中,7248936224260472833,1770009698116625,2023/05/09,動画視聴,"1,500,000","2,100,000","¥2,000,000","¥700,000","¥681,151",¥1.33,¥0.95,140.00%,¥0.31,26.56,"9,806",0.47%,42,0.002%,98,0.005%,66,0.003%,"10,012",0.48%,¥78,¥307,"2,217,318","8,632",0.39%,"1,145,447",51.66%,1.94,"2,043,327",48.96%,"1,000,372",17.01%,"347,658",3.69%,"75,483","163,493","222,796","364,138",4.51,8.04,,,,,,
,花王株式会社,エッセンシャル,バリアシャンプー,ヘアケア・スタイリング,https://vt.tiktok.com/ZSLHwXCLg/,配信終了,7164268767529238529,1766141624647698,2023/05/12,動画視聴,"700,000","1,200,000","¥500,000","¥320,000","¥303,158",¥0.71,¥0.42,171.43%,¥0.26,16.79,"8,602",0.72%,39,0.003%,83,0.007%,127,0.011%,"8,851",0.74%,¥86,¥263,"1,153,431",0,0.00%,"442,800",38.39%,2.6,"1,077,400",41.36%,"445,593",11.09%,"119,457",3.15%,"33,963","62,217","92,395","156,725",3.47,8.44,"46,569",,,,,
,花王株式会社,Primavista,スキンプロテクトベース,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7234014913990118658?lang=ja-JP,配信中,7062602315437522946,1766117424755729,2023/05/17,動画視聴,"1,000,000","2,100,000","¥2,500,000","￥850,000","¥444,134",¥2.50,¥1.19,210.00%,¥0.24,14.63,"19,058",0.91%,35,0.002%,150,0.007%,"3,444",0.164%,"22,687",1.08%,¥81,¥242,"1,829,939","5,425",0.30%,"1,064,524",58.17%,1.72,"1,709,367",56.86%,"972,027",33.96%,"580,552",8.77%,"149,939","253,720","475,661","734,353",5.69,9.14,"270,061",¥0.5,¥0.2,¥460.8,¥16.7,¥110.2
,株式会社ウテナ,ミーアンドハ―,ミーアンドハ―,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7235852232489504008?lang=ja-JP,配信中,7235853443947151362,1766569072018449,2023/05/22,動画視聴,"1,000,000","1,200,000","¥1,300,000","¥380,000","¥376,501",¥1.30,¥1.08,120.00%,¥0.35,78,"4,333",0.36%,9,0.001%,41,0.003%,72,0.006%,"4,455",0.37%,¥140,¥346,"1,088,155","2,673",0.25%,"603,313",55.44%,1.8,"1,026,901",41.55%,"426,639",16.87%,"173,242",0.50%,"5,153","10,377","23,844","52,685",5.04,8.58,"111,845",,¥2.1,¥486.3,¥252.3,¥291.8
,花王株式会社,Liese,前髪パウダー,ヘアケア・スタイリング,https://vt.tiktok.com/ZSLHwRvV3/,配信終了,7078872325327781890,1766565260174353,2023/05/22,動画視聴,"2,000,000","3,300,000","¥2,500,000","¥850,000","¥681,151",¥1.25,¥0.76,165.00%,¥0.31,17.46,"13,000",0.39%,87,0.003%,98,0.003%,263,0.008%,"13,448",0.41%,¥78,¥307,"2,217,318","8,632",0.39%,"1,145,447",51.66%,1.94,"2,043,327",48.96%,"1,000,372",17.01%,"347,658",3.69%,"75,483","163,493","222,796","364,138",4.51,8.04,"1,082,682",,,,,
,花王株式会社,Liese,ストレートローション,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7239559952082291970?_r=1&_t=8eJB5jA2M8F,配信中,7078872325327781890,1767471994993698,2023/06/01,動画視聴,"2,000,000","3,400,000","¥2,500,000","￥850,000","¥830,493",¥1.25,¥0.74,170.00%,¥0.27,17.18,"32,585",0.96%,55,0.002%,482,0.014%,"2,354",0.069%,"35,476",1.04%,¥0,¥266,"3,115,525",0,0.00%,"1,558,130",50.01%,2,"2,919,966",35.62%,"1,040,129",13.04%,"380,714",,"153,962","217,443","298,237","536,455",4.62,8.66,"284,475",,,,,
,花王株式会社,ビオレＺ,さらひや肌感ジュレ,日用品,https://www.tiktok.com/@tobuy_desu/video/7241036986046237960?_r=1&_t=8eJB7h1LKUs,配信終了,7234818896140812290,1767832518608914,2023/06/05,動画視聴,"2,000,000","3,000,000","¥2,500,000","￥850,000","¥746,045",¥1.25,¥0.83,150.00%,¥0.29,17.51,"24,000",0.80%,43,0.001%,195,0.007%,820,0.027%,"25,058",0.84%,¥95,¥292,"2,547,569","7,789",0.31%,"1,406,673",55.22%,1.81,"2,382,741",51.52%,"1,227,606",21.52%,"512,711",5.15%,"122,649","243,139","431,781","705,173",4.32,7.31,"452,431",,,,,
,サラヤ株式会社,ラカント,低糖質ケアスムージー,食品,https://vt.tiktok.com/ZSLHwWK7K/,配信中,7233955467133812737,1768657635151889,2023/06/14,動画視聴,"1,000,000","1,500,000","¥1,300,000","¥450,000","¥450,000",¥1.30,¥0.87,150.00%,¥0.32,18.39,"13,981",0.93%,16,0.001%,94,0.006%,122,0.008%,"14,213",0.95%,¥98,¥321,"1,398,355","4,586",0.33%,"799,215",57.15%,1.75,"1,315,562",56.50%,"743,310",15.95%,"209,886",3.47%,"45,651","70,472","111,281","401,037",4.28,7.05,"101,645",,¥1.7,¥283.5,¥28.5,¥91.5
,アンド・ナイン株式会社,プルント,プルント（うねり訴求）,ヘアケア・スタイリング,https://vt.tiktok.com/ZSLHwMY91/,配信中,7242221983465799682,1768645354951730,2023/06/14,動画視聴,,"2,100,000",,,¥0,#DIV/0!,¥0.00,#DIV/0!,#DIV/0!,13.24,"12,100",0.58%,,0.000%,0,0.000%,141,0.007%,"12,241",0.58%,¥0,¥0,0,0,0.00%,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0.00,0.00,,,,,,
,アンド・ナイン株式会社,プルント,プルント（香り訴求）,ヘアケア・スタイリング,https://vt.tiktok.com/ZSLHwMwtt/,配信中,7242221983465799682,1777521417228321,2023/06/14,動画視聴,,"420,200",,,¥0,#DIV/0!,¥0.00,#DIV/0!,#DIV/0!,13.93,"4,662",1.11%,22,0.005%,0,0.000%,19,0.005%,"4,703",1.12%,¥0,¥0,0,0,0.00%,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0.00,0.00,,,,,,
,花王株式会社,Primavista,あぶらとりパウダー,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7199552272488058114?lang=ja-JP,配信中,7062602315437522946,1777724872400946,2023/06/16,動画視聴,"2,000,000","2,300,000","¥2,500,000","¥850,000","¥416,003",¥1.25,¥1.09,115.00%,¥0.28,15.49,"36,000",1.57%,60,0.003%,35,0.002%,"8,166",0.355%,"44,261",1.92%,¥95,¥282,"1,473,851","4,352",0.30%,"1,109,838",75.30%,1.33,"1,404,220",70.92%,"995,885",43.56%,"611,721",11.78%,"165,466","330,938","623,989","796,821",5.52,6.99,,¥0.0,,,,
,ピアス株式会社,パラドゥ,アイブロウマスカラ,メイクアップ,https://vt.tiktok.com/ZSLyKchcK/,配信中,7241503499303813122,1769287747520529,2023/06/21,動画視聴,"2,000,000","2,000,000","¥2,500,000","¥850,000","¥807,137",¥1.25,¥1.25,100.00%,¥0.33,19.92,"1,670",0.08%,25,0.001%,79,0.004%,270,0.014%,"2,044",0.10%,¥104,¥333,"2,416,903","7,710",0.32%,"1,638,081",67.78%,1.48,"2,250,799",52.61%,"1,184,156",31.15%,"701,175",2.22%,"49,861","83,050","169,811","765,473",4.57,6.28,,¥1.5,,,,
,青山商事株式会社,洋服の青山,ブラウス,その他,https://vt.tiktok.com/ZSLHwPdAo/,配信中,7242570959008301058,1769293427540002,2023/06/21,動画視聴,"1,500,000","1,700,000","¥2,000,000","￥700,000","¥645,713",¥1.33,¥1.18,113.33%,¥0.41,19.74,"4,769",0.28%,6,0.000%,27,0.002%,63,0.004%,"4,865",0.29%,¥134,¥407,"1,582,672","4,808",0.30%,"1,149,393",72.62%,1.38,"1,485,108",43.09%,"639,894",17.21%,"255,607",2.83%,"42,102","73,965","138,093","318,521",3.88,5.01,"117,328",,,,,
,ピアス株式会社,パラドゥ,ペンシルアイライナー,メイクアップ,https://vt.tiktok.com/ZSLyKtGh4/,配信中,7241503499303813122,1769292667045937,2023/06/21,動画視聴,"2,000,000","2,600,000","¥2,500,000","¥850,000","¥847,726",¥1.25,¥0.96,130.00%,¥0.35,17.39,"6,421",0.25%,35,0.001%,54,0.002%,83,0.003%,"6,593",0.25%,¥116,¥351,"2,410,221","7,283",0.30%,"1,401,147",58.13%,1.72,"2,245,405",52.24%,"1,172,957",28.48%,"639,502",4.67%,"104,752","208,101","315,879","785,791",4.73,7.58,"189,779",¥1.4,,,,
,楽天グループ株式会社,韓国コスメフェス,韓国コスメフェス,その他,https://vt.tiktok.com/ZSLyaHjAC/,配信中,7248936224260472833,1770009698116625,2023/06/29,動画視聴,"2,000,000","2,400,000","¥2,500,000","¥850,000","¥681,151",¥1.25,¥1.04,120.00%,¥0.31,22.22,"10,000",0.42%,36,0.002%,98,0.004%,130,0.005%,"10,264",0.43%,¥78,¥307,"2,217,318","8,632",0.39%,"1,145,447",51.66%,1.94,"2,043,327",48.96%,"1,000,372",17.01%,"347,658",3.69%,"75,483","163,493","222,796","364,138",4.51,8.04,"182,682",,,,,
,花王株式会社,エッセンシャル,ウォータートリートメント,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7252144797786361096?is_from_webapp=1&sender_device=pc&web_id=7219102659260581377,配信中,7164268767529238529,1770544051962898,2023/07/05,動画視聴,"2,000,000","2,900,000","¥2,500,000","¥850,000","¥846,829",¥1.25,¥0.86,145.00%,¥0.34,21.9,"6,721",0.23%,36,0.001%,128,0.004%,93,0.003%,"6,978",0.24%,¥94,¥342,"2,475,948","8,958",0.36%,"1,275,716",51.52%,1.94,"2,326,924",46.29%,"1,077,126",17.41%,"405,112",3.91%,"91,024","200,913","326,445","420,190",4.46,8.14,"424,052",,,,,
,花王株式会社,Liese,泡カラー（HERO）,ヘアケア・スタイリング,https://vt.tiktok.com/ZSNhskqpw/,配信中,7078872325327781890,1776983994527746,2023/07/10,動画視聴,"2,000,000","2,700,000","¥2,500,000","¥1,393,175","¥1,393,175",¥1.25,¥0.93,135.00%,¥0.33,14.63,"9,141",0.00%,60,0.00%,221,0.010%,292,0.011%,"9,714",0.36%,¥0,¥333,"4,177,791",0,0.00%,"2,146,876",51.39%,1.95,"4,125,475",49.50%,"2,042,236",24.71%,"1,019,500",2.65%,"109,229","331,013","506,029","849,123",5.81,11.17,,,,,,
,花王株式会社,Liese,泡カラー（HUB）,ヘアケア・スタイリング,https://vt.tiktok.com/ZSNhskHNS/,配信中,7078872325327781890,1778970392847377,2023/07/14,動画視聴,"2,000,000","2,200,000","¥2,000,000","¥714,875","¥706,321",¥1.00,¥0.91,110.00%,¥0.29,18.79,"7,528",0.00%,66,0.00%,335,0.010%,501,0.023%,"8,430",0.38%,¥0,¥287,"2,456,854",0,0.00%,"1,055,452",42.96%,2.33,"2,440,358",37.57%,"916,897",13.75%,"335,665",0.99%,"24,147","46,587","82,401","241,676",3.93,9.08,,,¥1.1,#DIV/0!,¥82.8,¥237.2
,花王株式会社,エッセンシャル,バリアシャンプー・トリートメント,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7258144556951080200?lang=ja-JP,配信中,7164268767529238529,1772009574603778,2023/07/21,動画視聴,"1,000,000","4,300,000","¥1,300,000","¥450,000","¥447,574",¥1.30,¥0.30,430.00%,¥0.33,14.79,"4,895",0.11%,68,0.002%,100,0.002%,88,0.002%,"5,151",0.12%,¥115,¥331,"1,348,416","3,891",0.29%,"755,503",56.03%,1.78,"1,281,682",46.36%,"594,212",16.98%,"217,646",6.41%,"82,197","116,177","166,094","308,527",3.94,6.69,,,,,,
,花王株式会社,ケープ,キープウォーター,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7264774002525113601?is_from_webapp=1&sender_device=pc&web_id=7219102659260581377,配信中,7151369742064861186,1773628103160833,2023/08/08,動画視聴,"2,000,000","2,900,000","¥2,500,000","¥850,000","¥845,958",¥1.25,¥0.86,145.00%,¥0.34,16.46,"17,500",0.60%,94,0.003%,218,0.008%,348,0.012%,"18,160",0.63%,¥88,¥336,"2,513,659","9,559",0.38%,"1,283,547",51.06%,1.96,"2,432,027",35.58%,"865,265",14.38%,"349,670",7.39%,"179,772","252,616","307,269","478,632",3.79,7.19,"386,341",,,,,
,花王株式会社,Liese,前髪パウダー,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7270349519273905416?lang=ja-JP,配信中,7078872325327781890,1774995064661009,2023/08/23,動画視聴,"1,500,000","2,700,000","¥2,000,000","¥700,000","¥692,444",¥1.33,¥0.74,180.00%,¥0.30,20.2,"7,409",0.27%,36,0.001%,142,0.005%,127,0.005%,"7,714",0.29%,¥0,¥298,"2,321,115",0,0.00%,"1,665,044",71.73%,1.39,"2,268,411",69.43%,"1,574,954",37.21%,"843,977",5.31%,"120,509","238,704","623,691","900,148",6.35,8.65,"378,885",,,,,
,楽天グループ株式会社,楽天ラグジュアリービューティー,韓国楽天コスメ,その他,https://www.tiktok.com/@tobuy_desu/video/7273767280629026055?lang=ja-JP,配信中,7248936224260472833,1775822890392594,2023/09/01,動画視聴,"2,000,000","2,300,000","¥2,500,000","¥850,000","¥699,134",¥1.25,¥1.09,115.00%,¥0.36,24.59,"16,000",0.70%,29,0.001%,75,0.003%,154,0.007%,"16,258",0.71%,¥96,¥356,"1,963,782","7,281",0.37%,"1,059,514",53.95%,1.85,"1,934,193",49.83%,"963,831",18.58%,"359,292",2.32%,"44,810","111,585","184,257","348,216",4.20,7.67,"336,218",,,,,
,Ripre/ver1,,,その他,https://www.tiktok.com/@tobuy_desu/video/7274806520792009986?lang=ja-JP,配信中,7273367821093158913,1776079284949009,2023/09/04,動画視聴,"2,000,000","2,400,000",,"¥625,000","¥678,760",¥0.00,¥0.00,120.00%,¥0.33,17.93,"16,000",0.00%,87,0.00%,93,0.010%,"2,256",0.094%,"18,436",0.77%,¥66,¥332,"2,042,136.00","10,203",0.50%,"1,422,459.00",69.66%,1.44,"1,991,250",67.55%,"1,345,017",35.76%,"712,113",5.50%,"109,574","175,528","368,546","879,281",5.31,7.44,"357,864",,,,,
,株式会社カネボウ化粧品	,TWANY,リズムシームレスウェア,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7277395731550440711?lang=ja-JP,配信中,7267131506278105090,1776721611011122,2023/09/11,動画視聴,"1,000,000","1,700,000","¥1,300,000","¥450,000","¥449,459",¥1.30,¥0.76,170.00%,¥0.29,14.12,"4,897",0.29%,13,0.001%,39,0.002%,96,0.006%,"5,045",0.30%,¥80,¥286,"1,567,985","5,561",0.35%,"1,008,547",64.32%,1.55,"1,522,194",78.07%,"1,188,348",43.01%,"654,694",7.03%,"107,016","195,535","480,041","930,976",5.62,8.49,"132,015",¥0.0,,,,
,サラヤ株式会社,へるしごはん,へるしごはん,食品,https://www.tiktok.com/@moshiyome_tobuy/video/7280444822517845256?lang=ja-JP,配信中,7272635571317653505,1777457052799025,2023/09/19,動画視聴,"1,000,000","1,800,000","¥1,000,000","¥500,000","¥499,681",¥1.00,¥0.56,180.00%,¥0.33,15.09,"3,402",0.19%,9,0.001%,17,0.001%,14,0.001%,"3,442",0.19%,¥92,¥325,"1,534,217","5,424",0.35%,"894,295",58.29%,1.72,"1,490,954",69.33%,"1,033,654",32.51%,"484,717",7.35%,"109,551","160,464","340,035","615,582",4.93,8.22,"265,783",,,,,
,エステー株式会社,消臭力,消臭スプレー,日用品,https://www.tiktok.com/@tobuy_desu/video/7280732390178180370?lang=ja-JP,配信中,7268486232340971521,1777527521838098,2023/09/20,動画視聴,"1,500,000","2,100,000","¥2,000,000","¥700,000","¥700,000",¥1.33,¥0.95,140.00%,¥0.40,15.12,"7,242",0.34%,32,0.002%,125,0.006%,105,0.005%,"7,504",0.36%,¥0,¥398,"1,757,274",0,0.00%,"1,142,442",65.01%,1.54,"1,713,258",59.26%,"1,015,265",18.74%,"321,086",6.61%,"113,287","170,401","268,185","551,455",4.43,6.64,"342,726",,,,,
,株式会社創通メディカル,マイトレックス,ヘッドスパプロ,日用品,https://www.tiktok.com/@moshiyome_tobuy/video/7280784940856298760?is_from_webapp=1&sender_device=pc&web_id=7219102659260581377,配信中,7247451702071230465,1777536483793970,2023/09/20,動画視聴,"2,500,000","4,000,000","¥2,500,000","¥1,200,000","¥1,198,133",¥1.00,¥0.63,160.00%,¥0.34,17.67,"17,100",0.43%,170,0.004%,268,0.007%,157,0.004%,"17,695",0.44%,¥0,¥344,"3,474,084",0,0.00%,"2,442,651",70.31%,1.42,"3,386,298",62.60%,"2,119,709",21.48%,"727,354",5.91%,"200,291","285,087","414,882","894,362",4.54,6.30,"525,916",,,,,
,Ripre/ver2,,,その他,https://www.tiktok.com/@tobuy_desu/video/7281089032824622337?lang=ja-JP,配信中,7273367821093158913,1777615617273889,2023/09/21,動画視聴,"1,500,000","2,000,000","¥2,000,000","¥700,000","¥700,000",¥1.33,¥1.00,133.33%,¥0.39,15.58,"7,357",0.00%,46,0.00%,63,0.010%,66,0.003%,"7,532",0.38%,¥74,¥389,"1,797,319","9,449",0.53%,"1,336,250",74.35%,1.35,"1,755,578",66.57%,"1,168,604",19.38%,"340,246",5.03%,"88,289","174,255","240,129","701,322",4.44,5.83,"202,681",,,,,
,花王株式会社,Primavista,デイトリートメントバーム,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7281558157015420178?lang=ja-JP,配信中,7062602315437522946,1777724872400946,2023/09/22,動画視聴,"2,000,000","2,900,000","¥2,500,000","¥850,000","¥416,003",¥1.25,¥0.86,145.00%,¥0.28,11.59,"5,701",0.20%,54,0.002%,35,0.001%,45,0.002%,"5,835",0.20%,¥95,¥282,"1,473,851","4,352",0.30%,"1,109,838",75.30%,1.33,"1,404,220",70.92%,"995,885",43.56%,"611,721",11.78%,"165,466","330,938","623,989","796,821",5.52,6.99,,¥1.8,,,,
,花王株式会社,バブ,あふだけ,日用品,https://www.tiktok.com/@moshiyome_tobuy/video/7282581590654471425?is_from_webapp=1&sender_device=pc&web_id=7219102659260581377,配信中,7278541720642633730,1777975533452338,2023/09/25,動画視聴,"1,000,000","1,700,000","¥1,000,000","¥500,000","¥499,998",¥1.00,¥0.59,170.00%,¥0.34,19.16,"6,451",0.38%,33,0.002%,34,0.002%,55,0.003%,"6,573",0.39%,¥94,¥338,"1,478,937","5,272",0.36%,"1,162,097",78.58%,1.27,"1,442,631",57.69%,"832,293",36.29%,"523,568",6.39%,"92,124","209,945","352,212","617,509",5.84,7.25,"221,063",,,,,
,花王株式会社,Primavista,スキンプロテクトベース,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7285246510931954962?lang=ja-JP,配信中,7062602315437522946,1778801110721538,2023/10/02,動画視聴,"1,000,000","3,600,000","¥1,500,000","¥520,000","¥623,199",¥1.50,¥0.42,360.00%,¥0.35,16,"9,636",0.27%,33,0.001%,39,0.001%,270,0.008%,"9,978",0.28%,¥110,¥348,"1,790,372","5,661",0.32%,"1,073,074",59.94%,1.67,"1,759,733",70.96%,"1,248,664",15.79%,"277,852",3.19%,"56,211","91,009","162,457","459,163",3.74,6.14,,¥0.9,,,,
,株式会社ファンケル,	FANCL,カロリミットブレンド茶,食品,https://www.tiktok.com/@tobuy_desu/video/7286341027714190594?lang=ja-JP,配信中,7283003050980196354,1778884097780850,2023/10/05,動画視聴,"1,000,000","1,600,000","¥1,300,000","¥450,000","¥450,000",¥1.30,¥0.81,160.00%,¥0.31,9.66,"2,914",0.18%,47,0.003%,58,0.004%,15,0.001%,"3,034",0.19%,¥0,¥310,"1,447,037",0,0.00%,"983,998",68.00%,1.47,"1,399,148",69.20%,"968,180",15.47%,"216,393",6.96%,"97,387","145,968","303,609","886,683",3.92,5.58,"152,963",,,,,
,花王株式会社,Liese,ニュアンススタイリングオイル,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7288170558582230274?lang=ja-JP,配信中,7078872325327781890,1779339960973361,2023/10/10,動画視聴,"2,000,000","3,700,000","¥2,500,000","¥850,000","¥849,990",¥1.25,¥0.68,185.00%,¥0.26,20.81,"13,900",0.38%,14,0.000%,37,0.001%,159,0.004%,"14,110",0.44%,¥0,¥259,"3,274,559",0,0.00%,"2,001,454",61.12%,1.64,"3,213,576",52.17%,"1,676,473",30.77%,"988,812",6.49%,"208,464","256,616","327,131","1,060,944",5.19,8.34,"425,441",,,,,
,イミュ株式会社,naturie,,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7289040341007748359?lang=ja-JP,配信中,7288652253958045697,1779609438605314,2023/10/12,動画視聴,"1,000,000","1,700,000","¥1,300,000","¥450,000","¥450,000",¥1.30,¥0.76,170.00%,¥0.28,16.2,"8,744",0.51%,21,0.001%,82,0.005%,170,0.010%,"9,017",0.53%,¥73,277,"1,618,861","6,104",0.38%,"1,044,558",64.52%,1.55,"1,578,290",46.52%,"734,282",26.91%,"424,656",9.20%,"145,138","232,992.00","368,420.00","486,123.00",4.89,7.39,,¥2.4,,,,
,花王株式会社,Primavista,デイトリートメント２本目,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7288970269174140178?lang=ja-JP,配信中,7062602315437522946,1779534313089057,2023/10/12,動画視聴,"2,000,000","2,600,000","¥2,500,000","¥850,000","¥850,000",¥1.25,¥0.96,130.00%,¥0.35,11.56,"3,830",0.15%,19,0.001%,23,0.001%,43,0.002%,"3,915",0.15%,¥116,¥354,"2,394,940","7,319",0.31%,"1,063,673",44.41%,2.25,"2,351,688",31.30%,"736,010",12.06%,"283,496",4.65%,"109,259","173,597","290,881","500,749",2.82,6.24,"205,060",¥1.2,,,,
,小林製薬株式会社,ケアナボン,ケアナボン,日用品,https://www.tiktok.com/@tobuy_desu/video/7289296808495402247,配信中,7273657573268619266,1779613854350369,2023/10/13,動画視聴,"1,500,000","3,200,000","¥2,000,000","¥700,000","¥699,325",¥1.33,¥0.63,213.33%,¥0.24,15.33,"35,500",1.11%,122,0.004%,416,0.013%,"1,100",0.034%,"37,138",1.16%,¥0,¥244,"2,859,569",0,0.00%,"1,937,339",67.75%,1.48,"2,717,405",77.20%,"2,097,960",70.05%,"892,711",16.06%,"436,314","702,941","822,684","1,396,488",7.14,10.02,"340,431",,,,,
